consulta,motor,rank,doc_id,score,fuente,idioma,url,relevante
spain world cup champion,BM25,1,1,12.5316,Hipertextual,es,https://hipertextual.com/videojuegos/despiden-empleados-crearon-juego-oficial-mundial-2026-netflix/,
spain world cup champion,Semantico,1,131,0.7313,El Mundo,es,https://www.elmundo.es/economia/empresas/2026/07/17/6a5a3f84e85ece78658b45b3.html,
spain world cup champion,BM25,2,137,12.5316,Marketingdirecto.com,es,https://www.marketingdirecto.com/anunciantes-general/publicaciones/espana-conquista-valor-marca-somos-lideres-finales-world-cup-brand-index-2026,
spain world cup champion,Semantico,2,89,0.7215,Puromarketing.com,es,https://www.puromarketing.com/39/217370/marca-celebra-segunda-estrella-seleccion-espanola-editoriales-especiales-conmemorativos,
spain world cup champion,BM25,3,319,7.7045,Al Jazeera English,en,https://www.aljazeera.com/sports/2026/7/19/spain-argentina-fifa-world-cup-who-will-win-prediction-ex-players,
spain world cup champion,Semantico,3,20,0.7205,Marca,es,https://www.marca.com/apuestas-deportivas/predicciones/2026/07/15/espana-desploma.html,
spain world cup champion,BM25,4,256,7.4619,The FADER,en,https://www.thefader.com/2026/07/16/how-to-watch-fifa-world-cup-2026-final-halftime-show-madonna-justin-bieber-shakira-burna-boy-bts,
spain world cup champion,Semantico,4,167,0.7199,20minutos.es,es,https://www.20minutos.es/deportes/futbol/las-notas-espana-mundial-los-sobresalientes-cubarsi-cucurella-aprobado-raspado-gavi-pedri_7015187_0.html,
spain world cup champion,BM25,5,190,7.3085,Sky Sports,en,https://www.skysports.com/football/news/11095/13563675/world-cup-2026-data-analysis-record-goals-bigger-fifa-ranking-gaps-older-starting-xis-travel-heat-penalties-substitutes-and-how-spain-won-it,
spain world cup champion,Semantico,5,69,0.712,20minutos.es,es,https://www.20minutos.es/deportes/espana-lleva-goles-mundial-revivelos-elige-cual-mejor-todos_7016121_0.html,
controversy referee decision,BM25,1,310,8.9779,Al Jazeera English,en,https://www.aljazeera.com/sports/2026/7/14/fifa-world-cup-meet-ismail-elfath-referee-for-england-argentina-semifinal,
controversy referee decision,Semantico,1,246,0.477,BBC News,en,https://www.bbc.co.uk/sport/football/videos/c3dyj7j48v9o,
controversy referee decision,BM25,2,291,8.4882,Al Jazeera English,en,https://www.aljazeera.com/sports/2026/7/13/fifa-world-cup-five-biggest-controversies-of-the-2026-tournament,
controversy referee decision,Semantico,2,101,0.4209,Marca,es,https://www.marca.com/futbol/mundial/2026/07/29/duro-procedimiento-disciplinario-fifa-incidentes-ocurridos-durante-final-mundial.html,
controversy referee decision,BM25,3,187,5.7451,Al Jazeera English,en,https://www.aljazeera.com/video/newsfeed/2026/7/17/world-cup-2026-what-did-we-learn,
controversy referee decision,Semantico,3,191,0.3663,Al Jazeera English,en,https://www.aljazeera.com/sports/2026/7/24/spains-de-la-fuente-slams-argentinas-world-cup-conduct-as-unacceptable,
